红芽大戟,文蛤,山茨菇,朱砂,千金子,麝香,雄黄
半夏,天麻,白术,老生姜,茯苓,甘草
百部,远志,桔梗,当归,柏子仁,五味子,黑参
天南星
鸡血藤,蜈蚣,地龙,当归,赤芍,羌活,白芷
瓜瓣,苇茎,薏仁,桃仁
半夏,竹茹,陈皮,茯苓,枳壳,甘草
半夏,竹茹,枳实,陈皮,生姜,甘草
半夏,桂心,远志,萆薢,茯苓,黄芩,麦门冬
半夏,陈皮,白术,干姜
半夏,芍药,桔梗,二十,当归,十,陈皮
半夏,芍药,桔梗,陈皮,苍术,川归,干姜
梨汁10毫升,牛乳60毫升,生姜汁,藕汁,韭汁
半夏,陈皮2,白术,木香,茯苓,砂仁,人参
半夏,党参,西砂仁,白术,炒广皮,木香,茯苓
半夏,栝楼,生川军,小川连,小枳实,皮硝
贝母,天南星,半夏,柴胡,当归,山慈姑,白术
半夏,天南星,黄柏,苍术,辛夷,牡蛎,滑石
贝母,杏仁,桔梗,夜合花,灯心100厘米,淡竹叶,麦冬
犀角汁20毫升,淡竹沥60毫升,生赤芍,青连翘,生姜汁2滴,丹皮,生地
半夏,麦芽,陈皮,香附,神曲,山植,苍术
半夏,杏仁,桔梗,陈皮,干葛,前胡,苏叶
昆布,海藻,白芥子,山茨菇,桔梗,元参,夏枯草
半夏,昆布,海藻,通草,海蛤粉,松萝,麦曲
贝母,半夏,昆布,海藻,柴胡,香附,当归
昆布,海藻,夏枯草,炒山甲,牡蛎,三棱,莪术
昆布,海藻,海带,海红蛤,海马,石燕,螵蛸
海藻,海带,桔梗,猪琰子,海昆布,香附,海蛤
半夏,皂角,生马钱子,生山甲,血竭,甘草
贝母,元参,牡蛎
贝母,乳香,没药,生黄耆,玄参,牡蛎,龙胆草
海石,杏仁,桔梗,栝楼,连翘,皮硝
半夏,白芥子,柴胡,陈皮,香附,瓜蒌,牡蛎
海藻,元参,红娘子,牡蛎,糯米,甘草
半夏,僵蚕,桔梗,栝楼,陈皮,元参,花粉
半夏,茯苓,甘草
半夏,黑附子,陈皮,神曲,菖蒲,茯神,人参
半夏,杏仁,桔梗,陈皮,前胡,苏叶,茯苓
半夏,紫菀,桂心,杏仁,陈皮,大腹皮,诃子
杏仁,桑白皮,桃仁,人参
杏仁,萝卜子
百部,杏仁,远志,桔梗,陈皮流浸膏,甘草
旋复花,僵蚕,石膏,防风
半夏,旋复花,代赭石,人参,枣仁,生姜,甘草
半夏,缩砂仁,草果仁,丁香,陈皮,神曲,白豆蔻
半夏,桔梗,茱萸,枳实,陈皮,琥珀,官桂
竹茹,姜汁3茶匙,陈皮,柿蒂
半夏,栝楼,黄连
半夏,胆南星,朱砂,真珠,脑,麝,茯苓
贝母,天南星,半夏,水牛角浓缩粉,西河柳,朱砂,大青叶
贝母,天南星,白芥子,僵蚕,朱砂,紫苏,麦芽
天竺黄,天南星,僵蚕,朱砂,桔梗,麦芽,陈皮
贝母,乳香,花粉,炒二丑,麝香,没药,赤芍
贝母,胆南星,杏仁,桔梗,苏子,元参,花粉
贝母,天竺黄,半夏,胆南星,飞朱砂,西丹参,珠粉
贝母,天竺黄,半夏,天南星,朱砂,僵蚕,天麻
牵牛,陈皮,槟榔,甘草
天竺黄,半夏,竹茹,佩兰,郁金,瓜蒌壳,六一散
僵蚕,叶,活白凤仙梗,新鲜大力子根,川附,香橼,没药60克苏合油
白芥子,乳没,姜黄,当归,黑附子,桂枝,淫羊藿
半夏,莱菔,当归,枳实,陈皮,香附,抚芎
半夏,天南星,莪术,芫花
贝母,百部,羊胆干膏,白及,甘草
贝母,五味子,天冬,薏仁,麦冬,地骨皮,百合
胆南星,远志,当归,淡竹叶,地黄,黄耆,茯苓
竹茹,玉竹,远志,女贞子,柏子仁,麦冬,菖蒲
天南星,防风
半夏,寒水石,三,白矾
贝母,半夏,紫菀,葶苈,百部,杏仁,马兜铃
半夏,天南星,僵蚕,牛膝,天麻,当归,牙皂
半夏,天南星,远志,僵蚕,金箔,辰砂,天麻
半夏,天南星,僵蚕,朱砂,蜈蚣,全蝎,乌梢蛇
天竺黄,琥珀,金箔,炒白牵牛子,大黄,黄连,人参
红豆,盐,陈皮,丁香,缩砂,白豆蔻,生姜
天南星,地龙,白僵蚕,全蝎,天麻,乳香,草乌
天南星,地龙,白僵蚕,全蝎,天麻,乳香,草乌
天南星,僵蚕,地龙,全蝎,天麻,乳香,草乌
半夏,党参,黄芪,陈皮,白术,代赭石,草决明
贝母,白芷
贝母,半夏,杏仁,款冬花,犀角,紫菀茸,百合
紫菀,桔梗,木通,朴消,白茅根,大黄,甘草
贝母,紫菀,款冬花
紫菀,桂心,杏仁,五味子,干姜,麻黄,甘草
杏仁,紫苏,五味子,青皮,桑白皮,麻黄,甘草
半夏,紫苏,陈皮,桂,白术,人参,甘草
葶苈,葶苈,始蚧,潞州人参,白牵牛,木香
半夏,竹茹,陈皮,茯苓,生姜
半夏,天南星,白芥子,枳实,当归,陈皮,白术
贝母,百部,杏仁,款冬花,秦艽,紫菀茸,糯米
天南星,天麻,全蝎,芜荑,白附子,巴霜,腻粉
半夏,胆南星,白僵蚕,秦艽,水瓜,黄松节,白附子
半夏,竹茹,牛膝,夏枯草,白术,车前子,珍珠母
紫菀,百部,桔梗,陈皮,白前,荆芥,甘草
莱菔,胆南星,葶苈,杏仁,苏子,白前,石膏
贝母,半夏,葶苈,百部,杏仁,桔梗,紫苏
半夏,紫菀,款冬花,杏仁,桔梗,紫苏,陈皮
半夏,天南星,杏仁,麦芽,皂角,枳实,苏子
半夏,桔梗,黄芩,枳壳,甘草
梅花脑,牙硝,五,朱砂,硼砂,寒水石,脑子
贝母,昆布,海藻,郁金,当归,红花,急性子
天竺黄,檀香,豆蔻,僵蚕,水牛角浓缩粉,朱砂,黄芪
